retriever,alpha,qid,ee_d,ee_r,eu,ee_d_interval
bm25,1,31133,0.552778,0.428571,0.3588707927062909,0.4-0.6
bm25,1,31134,0.541667,0.4,0.39096799764079354,0.4-0.6
bm25,1,31135,0.094444,0.0,0.1544401986929603,0.0-0.2
bm25,1,31136,0.086111,0.333333,0.2326491730423424,0.0-0.2
bm25,1,31137,0.097222,0.2,0.16025251271759522,0.0-0.2
bm25,1,31138,0.086111,0.466667,0.21349964066087082,0.0-0.2
bm25,1,31139,0.086111,0.183333,0.09037944282427991,0.0-0.2
bm25,1,31140,0.086111,0.25,0.07597909905361842,0.0-0.2
bm25,1,31141,0.086111,0.166667,0.05884008657313109,0.0-0.2
bm25,1,31142,0.088889,0.233333,0.24386364105125782,0.0-0.2
bm25,1,31143,0.086111,0.183333,0.0,0.0-0.2
bm25,1,31144,0.097222,0.533333,0.21525557243553234,0.0-0.2
bm25,1,31145,0.083333,0.316667,0.29530464509729554,0.0-0.2
bm25,1,31146,0.086111,0.533333,0.09624300963036206,0.0-0.2
bm25,1,31147,0.086111,0.066667,0.1847199721620596,0.0-0.2
bm25,1,31148,0.091667,0.0,0.1505926246030281,0.0-0.2
bm25,1,31149,0.086111,0.266667,0.26001866140605084,0.0-0.2
bm25,1,31150,0.088889,0.366667,0.2134689044486817,0.0-0.2
bm25,1,31151,0.088889,0.033333,0.07102034174102087,0.0-0.2
bm25,1,31152,0.091667,0.016667,0.653125803481462,0.0-0.2
bm25,1,31153,0.088889,0.566667,0.4225508341266592,0.0-0.2
bm25,1,31154,0.091667,0.0,0.158355551528803,0.0-0.2
bm25,1,31155,0.094444,0.0,0.30451627988428837,0.0-0.2
bm25,1,31156,0.088889,0.55,0.42927424303257117,0.0-0.2
bm25,1,31158,0.086111,0.016667,0.11376211670801609,0.0-0.2
bm25,1,31159,0.088889,0.45,0.18908562177895893,0.0-0.2
bm25,1,31160,0.094444,0.2,0.35928042715388187,0.0-0.2
bm25,1,31161,0.1,0.2,0.10722818951328787,0.0-0.2
bm25,1,31162,0.088889,0.133333,0.04308863489025506,0.0-0.2
bm25,1,31163,0.091667,0.45,0.17636538037416302,0.0-0.2
bm25,1,31164,0.091667,0.05,0.16645387380892487,0.0-0.2
bm25,1,31165,0.102778,0.383333,0.4097863513278315,0.0-0.2
bm25,1,31166,0.086111,0.466667,0.2607864844790481,0.0-0.2
bm25,1,31167,0.088889,0.433333,0.37441398673649506,0.0-0.2
bm25,1,31168,0.088889,0.45,0.22885622516804066,0.0-0.2
bm25,1,31169,0.086111,0.016667,0.07867013927507978,0.0-0.2
bm25,1,31170,0.086111,0.033333,0.2758398628881686,0.0-0.2
bm25,1,31171,0.088889,0.016667,0.030060880940938298,0.0-0.2
bm25,1,31175,0.097222,0.183333,0.04034200553431929,0.0-0.2
bm25,1,31176,0.088889,0.366667,0.08036567102175199,0.0-0.2
bm25,1,31177,0.1,0.366667,0.21653616834670078,0.0-0.2
bm25,1,31178,0.1,0.083333,0.03825009491590008,0.0-0.2
bm25,1,31179,0.091667,0.333333,0.26252085045412127,0.0-0.2
bm25,1,31180,0.088889,0.133333,0.09312980950702673,0.0-0.2
bm25,1,31181,0.091667,0.266667,0.07030680255348817,0.0-0.2
bm25,1,31182,0.086111,0.1,0.2130970482556832,0.0-0.2
bm25,1,31184,0.083333,0.083333,0.018803417696690864,0.0-0.2
bm25,1,31185,0.097222,0.5,0.38746187840033525,0.0-0.2
bm25,1,31186,0.094444,0.433333,0.43557369190159195,0.0-0.2
bm25,1,31187,0.088889,0.333333,0.24481157318105354,0.0-0.2
bm25,1,31188,0.094444,0.216667,0.2906490225054644,0.0-0.2
bm25,1,31189,0.086111,0.25,0.15408972707824142,0.0-0.2
bm25,1,31190,0.094444,0.2,0.1947554777461792,0.0-0.2
bm25,1,31191,0.091667,0.05,0.05221481643787234,0.0-0.2
bm25,1,31193,0.091667,0.1,0.3360437654115558,0.0-0.2
bm25,1,31194,0.088889,0.016667,0.12381240521192022,0.0-0.2
bm25,1,31195,0.086111,0.116667,0.0803031533329814,0.0-0.2
bm25,1,31196,0.094444,0.466667,0.41259277627145624,0.0-0.2
bm25,1,31197,0.083333,0.133333,0.051144229408467336,0.0-0.2
bm25,1,31199,0.088889,0.0,0.6900046255075333,0.0-0.2
bm25,1,31200,0.091667,0.416667,0.35093476538715546,0.0-0.2
bm25,1,31202,0.086111,0.25,0.1855565423982037,0.0-0.2
bm25,1,31203,0.086111,0.033333,0.054016563107998995,0.0-0.2
bm25,1,31204,0.086111,0.05,0.23699295596131725,0.0-0.2
bm25,1,31205,0.091667,0.133333,0.4041909794221178,0.0-0.2
bm25,1,31206,0.091667,0.033333,0.0331790109153522,0.0-0.2
bm25,1,31207,0.088889,0.083333,0.028129393723717828,0.0-0.2
bm25,1,31208,0.097222,0.266667,0.24060384825938536,0.0-0.2
bm25,1,31209,0.094444,0.066667,0.01057942643554692,0.0-0.2
bm25,1,31210,0.091667,0.0,0.13211185313107124,0.0-0.2
bm25,1,31211,0.097222,0.683333,0.37127026418996273,0.0-0.2
bm25,1,31212,0.088889,0.516667,0.20981666052856926,0.0-0.2
bm25,1,31213,0.086111,0.15,0.15283014643787635,0.0-0.2
bm25,1,31214,0.088889,0.116667,0.006314081200818864,0.0-0.2
